id,name,classification,type_1,type_2,height_m,weight_kg,capture_rate,abilities,hp,atk,def,sp_atk,sp_def,spd,total_stats,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fighting,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,is_legendary,count
98,Krabby,River Crab Pokémon,Water,,0.4,6.5,225,"Hyper Cutter ,  Shell Armor",30,105,90,25,25,50,325,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
99,Kingler,Pincer Pokémon,Water,,1.3,60.0,60,"Hyper Cutter ,  Shell Armor",55,130,115,50,50,75,475,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
100,Voltorb,Ball Pokémon,Electric,,0.5,10.4,190,"Soundproof ,  Static",40,30,50,55,55,100,330,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
101,Electrode,Ball Pokémon,Electric,,1.2,66.6,60,"Soundproof ,  Static",60,50,70,80,80,150,490,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
102,Exeggcute,Egg Pokémon,Grass,Psychic,0.4,2.5,90,Chlorophyll,60,40,80,60,45,40,325,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
103,Exeggutor,Coconut Pokémon,Grass,,2.0,120.0,45,"Chlorophyll ,  Alola Form Abilities",95,95,85,125,75,55,530,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
104,Cubone,Lonely Pokémon,Ground,,0.4,6.5,190,"Rock Head ,  Lightningrod",50,50,95,40,50,35,320,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
105,Marowak,Bone Keeper Pokémon,Ground,,1.0,45.0,75,"Rock Head ,  Lightningrod ,  Alola Form Abilities ,  Lightningrod",60,80,110,50,80,45,425,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1
106,Hitmonlee,Kicking Pokémon,Fighting,,1.5,49.8,45,"Limber ,  Reckless",50,120,53,35,110,87,455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
107,Hitmonchan,Punching Pokémon,Fighting,,1.4,50.2,45,"Keen Eye ,  Iron Fist",50,105,79,35,110,76,455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,1
108,Lickitung,Licking Pokémon,Normal,,1.2,65.5,45,"Own Tempo ,  Oblivious",90,55,75,60,75,30,385,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
109,Koffing,Poison Gas Pokémon,Poison,,0.6,1.0,190,Levitate,40,65,95,60,45,35,340,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
110,Weezing,Poison Gas Pokémon,Poison,,1.2,9.5,60,Levitate,65,90,120,85,70,60,490,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,1
111,Rhyhorn,Spikes Pokémon,Ground,Rock,1.0,115.0,120,"Lightningrod ,  Rock Head",80,85,95,30,30,25,345,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
112,Rhydon,Drill Pokémon,Ground,Rock,1.9,120.0,60,"Lightningrod ,  Rock Head",105,130,120,45,45,40,485,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,1
113,Chansey,Egg Pokémon,Normal,,1.1,34.6,30,"Natural Cure ,  Serene Grace",250,5,5,35,105,50,450,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
114,Tangela,Vine Pokémon,Grass,,1.0,35.0,45,"Chlorophyll ,  Leaf Guard",65,55,115,100,40,60,435,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
115,Kangaskhan,Parent Pokémon,Normal,,2.2,80.0,45,"Early Bird ,  Scrappy",105,95,80,40,80,90,490,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
116,Horsea,Dragon Pokémon,Water,,0.4,8.0,225,"Swift Swim ,  Sniper",30,40,70,70,25,60,295,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
117,Seadra,Dragon Pokémon,Water,,1.2,25.0,75,"Poison Point ,  Sniper",55,65,95,95,45,85,440,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
118,Goldeen,Goldfish Pokémon,Water,,0.6,15.0,225,"Swift Swim ,  Water Veil",45,67,60,35,50,63,320,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
119,Seaking,Goldfish Pokémon,Water,,1.3,39.0,60,"Swift Swim ,  Water Veil",80,92,65,65,80,68,450,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
120,Staryu,Starshape Pokémon,Water,,0.8,34.5,225,"Illuminate ,  Natural Cure",30,45,55,70,55,85,340,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
121,Starmie,Mysterious Pokémon,Water,Psychic,1.1,80.0,60,"Illuminate ,  Natural Cure",60,75,85,100,85,115,520,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,1
122,Mr. Mime,Barrier Pokémon,Psychic,Fairy,1.3,54.5,45,"Soundproof ,  Filter",40,45,65,100,120,90,460,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0,1
123,Scyther,Mantis Pokémon,Bug,Flying,1.5,56.0,45,"Swarm ,  Technician",70,110,80,55,80,105,500,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,1
124,Jynx,Humanshape Pokémon,Ice,Psychic,1.4,40.6,45,"Oblivious ,  Forewarn",65,50,35,115,95,95,455,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0,1
125,Electabuzz,Electric Pokémon,Electric,,1.1,30.0,45,Static,65,83,57,95,85,105,490,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
126,Magmar,Spitfire Pokémon,Fire,,1.3,44.5,45,Flame Body,65,95,57,100,85,93,495,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
127,Pinsir,Stagbeetle Pokémon,Bug,,1.5,55.0,45,"Hyper Cutter ,  Mold Breaker",65,125,100,55,70,85,500,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
128,Tauros,Wild Bull Pokémon,Normal,,1.4,88.4,45,"Intimidate ,  Anger Point",75,100,95,40,70,110,490,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
129,Magikarp,Fish Pokémon,Water,,0.9,10.0,255,Swift Swim,20,10,55,15,20,80,200,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
130,Gyarados,Atrocious Pokémon,Water,Flying,6.5,235.0,45,Intimidate,95,125,79,60,100,81,540,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,0,1
131,Lapras,Transport Pokémon,Water,Ice,2.5,220.0,45,"Water Absorb ,  Shell Armor",130,85,80,85,95,60,535,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
132,Ditto,Transform Pokémon,Normal,,0.3,4.0,35,Limber,48,48,48,48,48,48,288,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
133,Eevee,Evolution Pokémon,Normal,,0.3,6.5,45,"Run Away ,  Adaptability",55,55,50,45,65,55,325,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
134,Vaporeon,Bubble Jet Pokémon,Water,,1.0,29.0,45,Water Absorb,130,65,60,110,95,65,525,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
135,Jolteon,Lightning Pokémon,Electric,,0.8,24.5,45,Volt Absorb,65,65,60,110,95,130,525,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
136,Flareon,Flame Pokémon,Fire,,0.9,25.0,45,Flash Fire,65,130,60,95,110,65,525,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
137,Porygon,Virtual Pokémon,Normal,,0.8,36.5,45,"Trace ,  Download",65,60,70,85,75,40,395,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
138,Omanyte,Spiral Pokémon,Rock,Water,0.4,7.5,45,"Swift Swim ,  Shell Armor",35,40,100,90,55,35,355,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
139,Omastar,Spiral Pokémon,Rock,Water,1.0,35.0,45,"Swift Swim ,  Shell Armor",70,60,125,115,70,55,495,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
140,Kabuto,Shellfish Pokémon,Rock,Water,0.5,11.5,45,"Swift Swim ,  Battle Armor",30,80,90,55,45,55,355,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
141,Kabutops,Shellfish Pokémon,Rock,Water,1.3,40.5,45,"Swift Swim ,  Battle Armor",60,115,105,65,70,80,495,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
142,Aerodactyl,Fossil Pokémon,Rock,Flying,1.8,59.0,45,"Rock Head ,  Pressure",80,105,65,60,75,130,515,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0,1
143,Snorlax,Sleeping Pokémon,Normal,,2.1,460.0,25,"Immunity ,  Thick Fat",160,110,65,65,110,30,540,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
144,Articuno,Freeze Pokémon,Ice,Flying,1.7,55.4,3,Pressure,90,85,100,95,125,85,580,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,1,1
145,Zapdos,Electric Pokémon,Electric,Flying,1.6,52.6,3,Pressure,90,90,85,125,90,100,580,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1,1
146,Moltres,Flame Pokémon,Fire,Flying,2.0,60.0,3,Pressure,90,100,90,125,85,90,580,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1,1
147,Dratini,Dragon Pokémon,Dragon,,1.8,3.3,45,Shed Skin,41,64,45,50,50,50,300,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,1
148,Dragonair,Dragon Pokémon,Dragon,,4.0,16.5,45,Shed Skin,61,84,65,70,70,70,420,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,1
149,Dragonite,Dragon Pokémon,Dragon,Flying,2.2,210.0,45,Inner Focus,91,134,95,100,100,80,600,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,0,1
150,Mewtwo,Genetic Pokémon,Psychic,,2.0,122.0,3,Pressure,106,110,90,154,90,130,680,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,1
151,Mew,New Species Pokémon,Psychic,,0.4,4.0,45,Synchronize,100,100,100,100,100,100,600,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,1
152,Chikorita,Leaf Pokémon,Grass,,0.9,6.4,45,Overgrow,45,49,65,49,65,45,318,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
153,Bayleef,Leaf Pokémon,Grass,,1.2,15.8,45,Overgrow,60,62,80,63,80,60,405,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
154,Meganium,Herb Pokémon,Grass,,1.8,100.5,45,Overgrow,80,82,100,83,100,80,525,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
155,Cyndaquil,Fire Mouse Pokémon,Fire,,0.5,7.9,45,Blaze,39,52,43,60,50,65,309,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
156,Quilava,Volcano Pokémon,Fire,,0.9,19.0,45,Blaze,58,64,58,80,65,80,405,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
157,Typhlosion,Volcano Pokémon,Fire,,1.7,79.5,45,Blaze,78,84,78,109,85,100,534,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,1
158,Totodile,Big Jaw Pokémon,Water,,0.6,9.5,45,Torrent,50,65,64,44,48,43,314,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
159,Croconaw,Big Jaw Pokémon,Water,,1.1,25.0,45,Torrent,65,80,80,59,63,58,405,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
160,Feraligatr,Big Jaw Pokémon,Water,,2.3,88.8,45,Torrent,85,105,100,79,83,78,530,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
161,Sentret,Scout Pokémon,Normal,,0.8,6.0,255,"Run Away ,  Keen Eye",35,46,34,35,45,20,215,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
162,Furret,Long Body Pokémon,Normal,,1.8,32.5,90,"Run Away ,  Keen Eye",85,76,64,45,55,90,415,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
163,Hoothoot,Owl Pokémon,Normal,Flying,0.7,21.2,255,"Insomnia ,  Keen Eye",60,30,30,36,56,50,262,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
164,Noctowl,Owl Pokémon,Normal,Flying,1.6,40.8,90,"Insomnia ,  Keen Eye",100,50,50,86,96,70,452,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,1
165,Ledyba,Five Star Pokémon,Bug,Flying,1.0,10.8,255,"Swarm ,  Early Bird",40,20,30,40,80,55,265,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,1
166,Ledian,Five Star Pokémon,Bug,Flying,1.4,35.6,90,"Swarm ,  Early Bird",55,35,50,55,110,85,390,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,1
167,Spinarak,String Spit Pokémon,Bug,Poison,0.5,8.5,255,"Swarm ,  Insomnia",40,60,40,40,40,30,250,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
168,Ariados,Long Leg Pokémon,Bug,Poison,1.1,33.5,90,"Swarm ,  Insomnia",70,90,70,60,70,40,400,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,1
169,Crobat,Bat Pokémon,Poison,Flying,1.8,75.0,90,Inner Focus,85,90,80,70,80,130,535,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,1
170,Chinchou,Angler Pokémon,Water,Electric,0.5,12.0,190,"Volt Absorb ,  Illuminate",75,38,38,56,56,67,330,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0,1
171,Lanturn,Light Pokémon,Water,Electric,1.2,22.5,75,"Volt Absorb ,  Illuminate",125,58,58,76,76,67,460,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0,1
172,Pichu,Tiny Mouse Pokémon,Electric,,0.3,2.0,190,Static,20,40,15,35,35,60,205,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
173,Cleffa,Star Shape Pokémon,Fairy,,0.3,3.0,150,"Cute Charm ,  Magic Guard",50,25,28,45,55,15,218,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,1
174,Igglybuff,Balloon Pokémon,Normal,Fairy,0.3,1.0,170,"Cute Charm ,  Competitive",90,30,15,40,20,15,210,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,1
175,Togepi,Spike Ball Pokémon,Fairy,,0.3,1.5,190,"Hustle ,  Serene Grace",35,20,65,40,65,20,245,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,1
176,Togetic,Happiness Pokémon,Fairy,Flying,0.6,3.2,75,"Hustle ,  Serene Grace",55,40,85,80,105,40,405,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0,1
177,Natu,Little Bird Pokémon,Psychic,Flying,0.2,2.0,190,"Synchronize ,  Early Bird",40,50,45,70,45,70,320,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,1
178,Xatu,Mystic Pokémon,Psychic,Flying,1.5,15.0,75,"Synchronize ,  Early Bird",65,75,70,95,70,95,470,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,1
179,Mareep,Wool Pokémon,Electric,,0.6,7.8,235,Static,55,40,40,65,45,35,280,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
180,Flaaffy,Wool Pokémon,Electric,,0.8,13.3,120,Static,70,55,55,80,60,45,365,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
181,Ampharos,Light Pokémon,Electric,,1.4,61.5,45,Static,90,75,85,115,90,55,510,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
182,Bellossom,Flower Pokémon,Grass,,0.4,5.8,45,Chlorophyll,75,80,95,90,100,50,490,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
183,Marill,Aquamouse Pokémon,Water,Fairy,0.4,8.5,190,"Thick Fat ,  Huge Power",70,20,50,20,50,40,250,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0,1
184,Azumarill,Aquarabbit Pokémon,Water,Fairy,0.8,28.5,75,"Thick Fat ,  Huge Power",100,50,80,60,80,50,420,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0,1
185,Sudowoodo,Imitation Pokémon,Rock,,1.2,38.0,65,"Sturdy ,  Rock Head",70,100,115,30,65,30,410,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,1
186,Politoed,Frog Pokémon,Water,,1.1,33.9,45,"Water Absorb ,  Damp",90,75,75,90,100,70,500,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1
187,Hoppip,Cottonweed Pokémon,Grass,Flying,0.4,0.5,255,"Chlorophyll ,  Leaf Guard",35,35,40,35,55,50,250,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
188,Skiploom,Cottonweed Pokémon,Grass,Flying,0.6,1.0,120,"Chlorophyll ,  Leaf Guard",55,45,50,45,65,80,340,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
189,Jumpluff,Cottonweed Pokémon,Grass,Flying,0.8,3.0,45,"Chlorophyll ,  Leaf Guard",75,55,70,55,95,110,460,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,1
190,Aipom,Long Tail Pokémon,Normal,,0.8,11.5,45,"Run Away ,  Pickup",55,70,55,40,55,85,360,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1
191,Sunkern,Seed Pokémon,Grass,,0.3,1.8,235,"Chlorophyll ,  Solar Power",30,30,30,30,30,30,180,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
192,Sunflora,Sun Pokémon,Grass,,0.8,8.5,120,"Chlorophyll ,  Solar Power",75,75,55,105,85,30,425,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
193,Yanma,Clear Wing Pokémon,Bug,Flying,1.2,38.0,75,"Speed Boost ,  Compoundeyes",65,65,45,75,45,95,390,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,1
194,Wooper,Water Fish Pokémon,Water,Ground,0.4,8.5,255,"Damp ,  Water Absorb",55,45,45,25,25,15,210,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0,1
195,Quagsire,Water Fish Pokémon,Water,Ground,1.4,75.0,90,"Damp ,  Water Absorb",95,85,85,65,65,35,430,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0,1
196,Espeon,Sun Pokémon,Psychic,,0.9,26.5,45,Synchronize,65,65,60,130,95,110,525,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1
197,Umbreon,Moonlight Pokémon,Dark,,1.0,27.0,45,Synchronize,95,65,110,60,130,65,525,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0,1
198,Murkrow,Darkness Pokémon,Dark,Flying,0.5,2.1,30,"Insomnia ,  Super Luck",60,85,42,85,42,91,405,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0,1
